time,open,high,low,close
2025-08-28T09:15:00+09:00,111670,111710,111190,111350
2025-08-28T09:30:00+09:00,111310,111470,111120,111470
2025-08-28T09:45:00+09:00,111470,111670,111400,111490
2025-08-28T10:00:00+09:00,111520,111750,111520,111730
2025-08-28T10:15:00+09:00,111720,111800,111650,111650
2025-08-28T10:30:00+09:00,111660,111830,111660,111800
2025-08-28T10:45:00+09:00,111800,111900,111790,111870
2025-08-28T11:00:00+09:00,111860,111950,111820,111820
2025-08-28T11:15:00+09:00,111810,111850,111720,111850
2025-08-28T11:30:00+09:00,111830,111880,111720,111730
2025-08-28T11:45:00+09:00,111720,111780,111690,111720
2025-08-28T12:00:00+09:00,111690,112080,111640,112080
2025-08-28T12:15:00+09:00,112100,112130,112040,112130
2025-08-28T12:30:00+09:00,112160,112200,112100,112160
2025-08-28T12:45:00+09:00,112160,112230,112080,112220
2025-08-28T13:00:00+09:00,112220,112370,112180,112370
2025-08-28T13:15:00+09:00,112400,112510,112330,112510
2025-08-28T13:30:00+09:00,112510,112990,112510,112990
2025-08-28T13:45:00+09:00,113000,113270,112990,113150
2025-08-28T14:00:00+09:00,113200,113330,113110,113120
2025-08-28T14:15:00+09:00,113150,113170,113040,113080
2025-08-28T14:30:00+09:00,113070,113110,113020,113020
2025-08-28T14:45:00+09:00,113020,113040,112870,113040
2025-08-28T15:00:00+09:00,113010,113070,112910,112930
2025-08-28T15:15:00+09:00,112930,113130,112930,113130
2025-08-28T15:30:00+09:00,113130,113250,113130,113230
2025-08-28T15:45:00+09:00,113230,113400,113150,113400
2025-08-28T16:00:00+09:00,113400,113490,113380,113480
2025-08-28T16:15:00+09:00,113490,113500,113310,113310
2025-08-28T16:30:00+09:00,113300,113320,113240,113310
2025-08-28T16:45:00+09:00,113300,113300,113240,113250
2025-08-28T17:00:00+09:00,113320,113500,113290,113370
2025-08-28T17:15:00+09:00,113350,113350,113200,113210
2025-08-28T17:30:00+09:00,113230,113400,113230,113370
2025-08-28T17:45:00+09:00,113320,113320,113210,113290
