time,open,high,low,close
2025-08-07T16:30:00+09:00,115010,115010,114940,114940
2025-08-07T16:45:00+09:00,114940,114980,114920,114970
2025-08-07T17:00:00+09:00,114970,115170,114970,115140
2025-08-07T17:15:00+09:00,115130,115350,115120,115330
2025-08-07T17:30:00+09:00,115290,115290,115200,115230
2025-08-07T17:45:00+09:00,115230,115230,115150,115170
2025-08-07T18:00:00+09:00,115160,115220,115090,115100
2025-08-07T18:15:00+09:00,115100,115160,115070,115160
2025-08-07T18:30:00+09:00,115190,115210,115100,115170
2025-08-07T18:45:00+09:00,115210,115250,115180,115240
2025-08-07T19:00:00+09:00,115250,115720,115250,115690
2025-08-07T19:15:00+09:00,115660,116040,115660,116000
2025-08-07T19:30:00+09:00,116010,116500,116010,116490
2025-08-07T19:45:00+09:00,116500,116540,116420,116480
2025-08-07T20:00:00+09:00,116490,116600,116490,116600
2025-08-07T20:15:00+09:00,116600,116920,116570,116920
2025-08-07T20:30:00+09:00,116900,116900,116700,116790
2025-08-07T20:45:00+09:00,116790,116910,116680,116680
2025-08-07T21:00:00+09:00,116700,116700,116420,116420
2025-08-07T21:15:00+09:00,116420,116600,116410,116570
2025-08-07T21:30:00+09:00,116550,116580,116370,116380
2025-08-07T21:45:00+09:00,116370,116480,116160,116480
2025-08-07T22:00:00+09:00,116480,116500,116360,116360
2025-08-07T22:15:00+09:00,116370,116520,116350,116520
2025-08-07T22:30:00+09:00,116530,116860,116460,116720
2025-08-07T22:45:00+09:00,116740,116800,116560,116730
2025-08-07T23:00:00+09:00,116740,116800,116390,116390
2025-08-07T23:15:00+09:00,116410,116560,116410,116470
2025-08-07T23:30:00+09:00,116510,116740,116320,116590
2025-08-07T23:45:00+09:00,116580,116630,116420,116450
2025-08-08T00:00:00+09:00,116510,116580,116400,116560
2025-08-08T00:15:00+09:00,116550,116690,116550,116580
2025-08-08T00:30:00+09:00,116650,116860,116650,116860
2025-08-08T00:45:00+09:00,116870,116910,116730,116870
2025-08-08T01:00:00+09:00,116850,116850,116690,116780
2025-08-08T01:15:00+09:00,116770,116870,116720,116860
2025-08-08T01:30:00+09:00,116830,116860,116250,116250
2025-08-08T01:45:00+09:00,116250,116410,115780,116370
2025-08-08T02:00:00+09:00,116400,116570,116290,116570
2025-08-08T02:15:00+09:00,116530,116650,116520,116570
2025-08-08T02:30:00+09:00,116550,116590,116350,116520
2025-08-08T02:45:00+09:00,116480,116640,116480,116600
2025-08-08T03:00:00+09:00,116620,116620,116330,116340
2025-08-08T03:15:00+09:00,116350,116470,116310,116440
2025-08-08T03:30:00+09:00,116430,116430,116410,116410
2025-08-08T03:45:00+09:00,116430,116660,116410,116660
2025-08-08T04:00:00+09:00,116680,116740,116630,116680
2025-08-08T04:15:00+09:00,116650,116800,116640,116800
2025-08-08T04:30:00+09:00,116810,117210,116810,117210
2025-08-08T04:45:00+09:00,117220,117770,117220,117620
2025-08-08T05:00:00+09:00,117610,117650,117450,117470
2025-08-08T05:15:00+09:00,117460,117600,117460,117540
2025-08-08T05:30:00+09:00,117540,117570,117460,117460
2025-08-08T05:45:00+09:00,117460,117460,117280,117300
2025-08-08T06:00:00+09:00,117300,117460,117300,117460
2025-08-08T06:15:00+09:00,117440,117480,117440,117450
2025-08-08T06:30:00+09:00,117460,117480,117200,117210
2025-08-08T06:45:00+09:00,117210,117400,117210,117260
2025-08-08T07:00:00+09:00,117260,117570,117260,117560
2025-08-08T07:15:00+09:00,117530,117620,117470,117620
2025-08-08T07:30:00+09:00,117570,117600,117470,117530
2025-08-08T07:45:00+09:00,117530,117800,117530,117720
2025-08-08T08:00:00+09:00,117720,117720,117550,117550
2025-08-08T08:15:00+09:00,117550,117550,117480,117490
2025-08-08T08:30:00+09:00,117480,117490,117470,117470
2025-08-08T08:45:00+09:00,117530,117580,117530,117580
2025-08-08T09:00:00+09:00,117590,117640,117410,117500
2025-08-08T09:15:00+09:00,117480,117480,116890,117170
2025-08-08T09:30:00+09:00,117150,117900,117090,117800
2025-08-08T09:45:00+09:00,117790,117880,117380,117400
2025-08-08T10:00:00+09:00,117400,117410,116870,117340
2025-08-08T10:15:00+09:00,117330,117350,116820,116990
2025-08-08T10:30:00+09:00,117000,117000,116860,116860
2025-08-08T10:45:00+09:00,116860,116960,116860,116880
2025-08-08T11:00:00+09:00,116900,116950,116840,116890
2025-08-08T11:15:00+09:00,116910,116910,116810,116820
2025-08-08T11:30:00+09:00,116820,116820,116770,116780
2025-08-08T11:45:00+09:00,116820,116890,116750,116750
2025-08-08T12:00:00+09:00,116750,116820,116750,116820
2025-08-08T12:15:00+09:00,116840,117020,116840,116970
2025-08-08T12:30:00+09:00,116960,116960,116780,116810
2025-08-08T12:45:00+09:00,116800,116800,116740,116760
2025-08-08T13:00:00+09:00,116750,116850,116740,116850
2025-08-08T13:15:00+09:00,116860,116860,116830,116840
2025-08-08T13:30:00+09:00,116860,116860,116840,116840
2025-08-08T13:45:00+09:00,116830,116830,116800,116810
2025-08-08T14:00:00+09:00,116810,116810,116670,116690
2025-08-08T14:15:00+09:00,116700,116730,116670,116680
2025-08-08T14:30:00+09:00,116670,116670,116600,116600
2025-08-08T14:45:00+09:00,116610,116610,116560,116570
2025-08-08T15:00:00+09:00,116560,116560,116410,116550
2025-08-08T15:15:00+09:00,116570,116690,116550,116690
2025-08-08T15:30:00+09:00,116700,116730,116660,116730
2025-08-08T15:45:00+09:00,116750,116840,116700,116820
2025-08-08T16:00:00+09:00,116820,116840,116670,116720
2025-08-08T16:15:00+09:00,116740,117210,116740,117210
2025-08-08T16:30:00+09:00,117200,117210,117010,117010
2025-08-08T16:45:00+09:00,117010,117060,117010,117050
2025-08-08T17:00:00+09:00,117020,117080,116950,117080
2025-08-08T17:15:00+09:00,117080,117080,116880,116880
2025-08-08T17:30:00+09:00,116880,116880,116620,116650
2025-08-08T17:45:00+09:00,116700,116790,116690,116790
2025-08-08T18:00:00+09:00,116790,116810,116720,116810
2025-08-08T18:15:00+09:00,116770,116770,116680,116680
2025-08-08T18:30:00+09:00,116770,116770,116760,116770
2025-08-08T18:45:00+09:00,116770,116860,116770,116860
2025-08-08T19:00:00+09:00,116850,116850,116800,116800
2025-08-08T19:15:00+09:00,116790,116790,116670,116670
2025-08-08T19:30:00+09:00,116680,116700,116650,116650
2025-08-08T19:45:00+09:00,116650,116700,116500,116690
2025-08-08T20:00:00+09:00,116690,116950,116690,116950
2025-08-08T20:15:00+09:00,116950,117000,116950,116980
2025-08-08T20:30:00+09:00,116980,116990,116980,116980
2025-08-08T20:45:00+09:00,116980,117060,116930,117060
2025-08-08T21:00:00+09:00,117030,117030,116790,116800
2025-08-08T21:15:00+09:00,116800,116840,116770,116800
2025-08-08T21:30:00+09:00,116800,116840,116750,116760
2025-08-08T21:45:00+09:00,116740,116740,116700,116710
2025-08-08T22:00:00+09:00,116680,116720,116680,116720
2025-08-08T22:15:00+09:00,116730,116880,116700,116880
2025-08-08T22:30:00+09:00,116890,117080,116700,116980
2025-08-08T22:45:00+09:00,117000,117070,116850,116980
2025-08-08T23:00:00+09:00,117020,117350,116820,116890
2025-08-08T23:15:00+09:00,116870,116890,116800,116870
2025-08-08T23:30:00+09:00,116880,116880,116510,116650
2025-08-08T23:45:00+09:00,116670,116790,116560,116590
2025-08-09T00:00:00+09:00,116620,116620,116340,116410
2025-08-09T00:15:00+09:00,116460,116630,116360,116460
2025-08-09T00:30:00+09:00,116430,116430,116040,116050
2025-08-09T00:45:00+09:00,116050,116360,116040,116360
2025-08-09T01:00:00+09:00,116360,116500,116240,116240
2025-08-09T01:15:00+09:00,116250,116380,116240,116240
2025-08-09T01:30:00+09:00,116230,116340,116170,116260
2025-08-09T01:45:00+09:00,116260,116370,116260,116310
2025-08-09T02:00:00+09:00,116310,116590,116290,116540
2025-08-09T02:15:00+09:00,116550,116590,116440,116480
2025-08-09T02:30:00+09:00,116480,116700,116480,116640
2025-08-09T02:45:00+09:00,116650,116790,116630,116790
2025-08-09T03:00:00+09:00,116800,116960,116790,116890
2025-08-09T03:15:00+09:00,116900,116980,116750,116790
2025-08-09T03:30:00+09:00,116750,116800,116500,116500
2025-08-09T03:45:00+09:00,116500,116620,116490,116610
2025-08-09T04:00:00+09:00,116610,116800,116590,116760
2025-08-09T04:15:00+09:00,116760,116830,116630,116640
2025-08-09T04:30:00+09:00,116640,116640,116500,116540
2025-08-09T04:45:00+09:00,116580,116630,116560,116630
2025-08-09T05:00:00+09:00,116560,116560,116470,116550
2025-08-09T05:15:00+09:00,116590,116620,116530,116620
2025-08-09T05:30:00+09:00,116630,116860,116630,116860
2025-08-09T05:45:00+09:00,116880,116990,116880,116980
2025-08-09T06:00:00+09:00,116970,116970,116900,116960
2025-08-09T06:15:00+09:00,116940,116940,116880,116910
2025-08-09T06:30:00+09:00,116940,117050,116930,117050
2025-08-09T06:45:00+09:00,117050,117100,117050,117100
2025-08-09T07:00:00+09:00,117040,117040,116860,117010
2025-08-09T07:15:00+09:00,117030,117070,117020,117040
2025-08-09T07:30:00+09:00,117050,117050,117010,117020
2025-08-09T07:45:00+09:00,117030,117030,117030,117030
2025-08-09T08:00:00+09:00,117020,117020,117020,117020
2025-08-09T08:15:00+09:00,117000,117000,116950,116950
2025-08-09T08:30:00+09:00,116940,116940,116810,116810
2025-08-09T08:45:00+09:00,116830,116830,116780,116790
2025-08-09T09:00:00+09:00,116790,116820,116770,116780
2025-08-09T09:15:00+09:00,116810,116840,116810,116840
2025-08-09T09:30:00+09:00,116820,116820,116780,116780
2025-08-09T09:45:00+09:00,116760,116760,116730,116730
2025-08-09T10:00:00+09:00,116740,116770,116700,116770
2025-08-09T10:15:00+09:00,116770,116770,116680,116680
2025-08-09T10:30:00+09:00,116680,116740,116680,116740
2025-08-09T10:45:00+09:00,116760,116780,116730,116730
2025-08-09T11:00:00+09:00,116710,116710,116590,116590
2025-08-09T11:15:00+09:00,116580,116610,116530,116560
2025-08-09T11:30:00+09:00,116570,116570,116540,116540
2025-08-09T11:45:00+09:00,116560,116560,116550,116560
2025-08-09T12:00:00+09:00,116530,116570,116500,116570
2025-08-09T12:15:00+09:00,116580,116580,116560,116580
2025-08-09T12:30:00+09:00,116580,116580,116490,116540
2025-08-09T12:45:00+09:00,116520,116520,116480,116500
2025-08-09T13:00:00+09:00,116520,116660,116480,116660
2025-08-09T13:15:00+09:00,116660,116660,116580,116600
2025-08-09T13:30:00+09:00,116670,116770,116550,116550
2025-08-09T13:45:00+09:00,116550,116560,116520,116560
2025-08-09T14:00:00+09:00,116550,116820,116550,116610
2025-08-09T14:15:00+09:00,116610,117040,116610,117030
2025-08-09T14:30:00+09:00,117030,117040,116830,116950
2025-08-09T14:45:00+09:00,116960,117010,116820,116820
2025-08-09T15:00:00+09:00,116830,116830,116680,116680
2025-08-09T15:15:00+09:00,116680,116810,116640,116760
2025-08-09T15:30:00+09:00,116710,116720,116600,116670
2025-08-09T15:45:00+09:00,116680,116750,116670,116750
2025-08-09T16:00:00+09:00,116730,116790,116710,116790
2025-08-09T16:15:00+09:00,116800,116930,116800,116930
2025-08-09T16:30:00+09:00,116930,116950,116880,116880
2025-08-09T16:45:00+09:00,116850,116850,116830,116840
2025-08-09T17:00:00+09:00,116840,116920,116840,116840
2025-08-09T17:15:00+09:00,116870,116900,116860,116900
2025-08-09T17:30:00+09:00,116930,117180,116910,117180
2025-08-09T17:45:00+09:00,117190,117210,116910,117170
2025-08-09T18:00:00+09:00,117180,117510,117150,117510
2025-08-09T18:15:00+09:00,117440,117500,117330,117330
2025-08-09T18:30:00+09:00,117350,117430,117350,117360
2025-08-09T18:45:00+09:00,117340,117540,117340,117540
2025-08-09T19:00:00+09:00,117550,117790,117550,117790
2025-08-09T19:15:00+09:00,117800,117950,117760,117820
2025-08-09T19:30:00+09:00,117800,117800,117480,117550
2025-08-09T19:45:00+09:00,117590,117640,117450,117460
2025-08-09T20:00:00+09:00,117460,117480,117320,117320
2025-08-09T20:15:00+09:00,117310,117320,117300,117300
2025-08-09T20:30:00+09:00,117330,117330,117150,117260
2025-08-09T20:45:00+09:00,117240,117280,117170,117210
2025-08-09T21:00:00+09:00,117160,117300,117130,117270
2025-08-09T21:15:00+09:00,117260,117260,117190,117190
2025-08-09T21:30:00+09:00,117250,117250,117080,117080
2025-08-09T21:45:00+09:00,117120,117190,117120,117160
2025-08-09T22:00:00+09:00,117170,117170,116970,116970
2025-08-09T22:15:00+09:00,116960,117090,116950,117070
2025-08-09T22:30:00+09:00,117050,117050,116950,117020
2025-08-09T22:45:00+09:00,117030,117070,117000,117050
2025-08-09T23:00:00+09:00,117010,117090,116810,117090
2025-08-09T23:15:00+09:00,117020,117040,116960,116980
2025-08-09T23:30:00+09:00,116980,116980,116920,116920
2025-08-09T23:45:00+09:00,116910,116990,116900,116990
2025-08-10T00:00:00+09:00,117010,117050,116970,117010
2025-08-10T00:15:00+09:00,117030,117170,116800,116880
2025-08-10T00:30:00+09:00,116880,116940,116880,116880
2025-08-10T00:45:00+09:00,116880,116950,116880,116950
2025-08-10T01:00:00+09:00,116950,116950,116870,116880
2025-08-10T01:15:00+09:00,116880,116880,116800,116810
2025-08-10T01:30:00+09:00,116800,116820,116720,116810
2025-08-10T01:45:00+09:00,116800,116800,116720,116750
2025-08-10T02:00:00+09:00,116710,116830,116710,116800
2025-08-10T02:15:00+09:00,116810,116820,116790,116810
2025-08-10T02:30:00+09:00,116820,116830,116740,116780
2025-08-10T02:45:00+09:00,116770,116770,116710,116710
2025-08-10T03:00:00+09:00,116710,116720,116710,116720
2025-08-10T03:15:00+09:00,116720,116760,116720,116760
2025-08-10T03:30:00+09:00,116760,116760,116700,116700
2025-08-10T03:45:00+09:00,116700,116740,116660,116700
2025-08-10T04:00:00+09:00,116710,116780,116700,116760
2025-08-10T04:15:00+09:00,116740,116740,116650,116670
2025-08-10T04:30:00+09:00,116680,116680,116670,116670
2025-08-10T04:45:00+09:00,116640,116640,116590,116590
2025-08-10T05:00:00+09:00,116590,116600,116560,116580
2025-08-10T05:15:00+09:00,116550,116780,116550,116780
2025-08-10T05:30:00+09:00,116780,117050,116780,116950
2025-08-10T05:45:00+09:00,116960,116960,116790,116810
2025-08-10T06:00:00+09:00,116830,116840,116780,116780
2025-08-10T06:15:00+09:00,116760,116760,116470,116490
2025-08-10T06:30:00+09:00,116490,116580,116480,116500
2025-08-10T06:45:00+09:00,116490,116650,116490,116650
2025-08-10T07:00:00+09:00,116600,116650,116570,116570
2025-08-10T07:15:00+09:00,116630,116780,116630,116770
2025-08-10T07:30:00+09:00,116750,116750,116690,116690
2025-08-10T07:45:00+09:00,116680,116680,116610,116610
2025-08-10T08:00:00+09:00,116610,116640,116580,116600
2025-08-10T08:15:00+09:00,116590,116590,116540,116540
2025-08-10T08:30:00+09:00,116530,116560,116520,116560
2025-08-10T08:45:00+09:00,116550,116550,116550,116550
2025-08-10T09:00:00+09:00,116550,116650,116530,116650
2025-08-10T09:15:00+09:00,116650,116680,116650,116660
2025-08-10T09:30:00+09:00,116650,116710,116610,116690
2025-08-10T09:45:00+09:00,116710,116790,116710,116790
2025-08-10T10:00:00+09:00,116790,116810,116680,116700
2025-08-10T10:15:00+09:00,116710,116740,116700,116700
2025-08-10T10:30:00+09:00,116720,116730,116690,116690
2025-08-10T10:45:00+09:00,116680,116680,116640,116640
2025-08-10T11:00:00+09:00,116640,116700,116640,116670
2025-08-10T11:15:00+09:00,116730,116830,116730,116830
2025-08-10T11:30:00+09:00,116830,117140,116830,117060
2025-08-10T11:45:00+09:00,117100,117350,117100,117350
2025-08-10T12:00:00+09:00,117350,117980,117340,117980
2025-08-10T12:15:00+09:00,117960,118520,117650,118420
2025-08-10T12:30:00+09:00,118450,118510,118220,118220
2025-08-10T12:45:00+09:00,118230,118540,118200,118530
2025-08-10T13:00:00+09:00,118540,118760,118540,118750
2025-08-10T13:15:00+09:00,118750,118750,118620,118680
2025-08-10T13:30:00+09:00,118690,118690,118460,118460
2025-08-10T13:45:00+09:00,118460,118590,118460,118490
2025-08-10T14:00:00+09:00,118540,118560,118340,118360
2025-08-10T14:15:00+09:00,118340,118340,118000,118000
2025-08-10T14:30:00+09:00,118010,118320,118010,118320
2025-08-10T14:45:00+09:00,118280,118280,118060,118100
2025-08-10T15:00:00+09:00,118110,118230,118110,118130
2025-08-10T15:15:00+09:00,118130,118130,117920,117970
2025-08-10T15:30:00+09:00,117920,118050,117840,118050
2025-08-10T15:45:00+09:00,118060,118180,118020,118160
2025-08-10T16:00:00+09:00,118160,118300,118160,118210
2025-08-10T16:15:00+09:00,118210,118290,118160,118170
2025-08-10T16:30:00+09:00,118170,118170,117680,117690
2025-08-10T16:45:00+09:00,117720,117890,117540,117890
2025-08-10T17:00:00+09:00,117850,118080,117720,118070
2025-08-10T17:15:00+09:00,118060,118220,118060,118170
2025-08-10T17:30:00+09:00,118180,118250,118170,118200
2025-08-10T17:45:00+09:00,118220,118450,118220,118360
2025-08-10T18:00:00+09:00,118390,118420,118360,118390
2025-08-10T18:15:00+09:00,118380,118450,118350,118350
2025-08-10T18:30:00+09:00,118340,118340,118210,118220
2025-08-10T18:45:00+09:00,118220,118490,118220,118360
2025-08-10T19:00:00+09:00,118350,118350,118230,118280
2025-08-10T19:15:00+09:00,118260,118270,118190,118260
2025-08-10T19:30:00+09:00,118250,118250,118120,118250
2025-08-10T19:45:00+09:00,118260,118310,118100,118100
2025-08-10T20:00:00+09:00,118100,118120,118050,118080
2025-08-10T20:15:00+09:00,118100,118330,118080,118330
2025-08-10T20:30:00+09:00,118330,118540,118280,118470
2025-08-10T20:45:00+09:00,118490,118560,118400,118400
2025-08-10T21:00:00+09:00,118430,118600,118330,118570
2025-08-10T21:15:00+09:00,118570,118740,118570,118700
2025-08-10T21:30:00+09:00,118700,118770,118700,118760
2025-08-10T21:45:00+09:00,118760,118800,118540,118600
2025-08-10T22:00:00+09:00,118590,118740,118580,118660
2025-08-10T22:15:00+09:00,118660,118660,118460,118630
2025-08-10T22:30:00+09:00,118620,118630,118440,118620
2025-08-10T22:45:00+09:00,118620,118730,118500,118500
2025-08-10T23:00:00+09:00,118500,118670,118380,118660
2025-08-10T23:15:00+09:00,118660,118890,118630,118880
2025-08-10T23:30:00+09:00,118850,118850,118750,118830
2025-08-10T23:45:00+09:00,118850,118900,118720,118890
2025-08-11T00:00:00+09:00,118890,119190,118890,118990
2025-08-11T00:15:00+09:00,119000,119040,118760,118830
2025-08-11T00:30:00+09:00,118830,118830,118710,118810
2025-08-11T00:45:00+09:00,118810,118940,118810,118890
2025-08-11T01:00:00+09:00,118910,119010,118910,118960
2025-08-11T01:15:00+09:00,118940,118950,118820,118860
2025-08-11T01:30:00+09:00,118860,118860,118700,118860
2025-08-11T01:45:00+09:00,118870,118910,118760,118780
2025-08-11T02:00:00+09:00,118770,118770,118710,118760
