time,open,high,low,close
2026-02-01T00:00:00+09:00,81507,81801,81217,81302
2026-02-01T00:15:00+09:00,81312,81378,81131,81352
2026-02-01T00:30:00+09:00,81333,81416,81183,81380
2026-02-01T00:45:00+09:00,81383,81569,81271,81336
2026-02-01T01:00:00+09:00,81319,81478,80729,81019
2026-02-01T01:15:00+09:00,81029,82200,80524,81106
2026-02-01T01:30:00+09:00,81151,81311,80968,81027
2026-02-01T01:45:00+09:00,81007,81078,80130,80389
2026-02-01T02:00:00+09:00,80388,80583,78168,78872
2026-02-01T02:15:00+09:00,78860,79415,78696,79158
2026-02-01T02:30:00+09:00,79160,79301,78531,78932
2026-02-01T02:45:00+09:00,78951,79114,78688,78913
2026-02-01T03:00:00+09:00,78925,79186,78601,78668
2026-02-01T03:15:00+09:00,78673,78673,78000,78458
2026-02-01T03:30:00+09:00,78449,78752,75731,77669
2026-02-01T03:45:00+09:00,77660,78318,77164,78046
2026-02-01T04:00:00+09:00,78066,78583,77844,78269
2026-02-01T04:15:00+09:00,78294,78431,77859,78028
2026-02-01T04:30:00+09:00,78040,78108,77230,77583
2026-02-01T04:45:00+09:00,77588,78040,77499,77793
2026-02-01T05:00:00+09:00,77789,77999,77539,77583
2026-02-01T05:15:00+09:00,77567,78171,77417,77424
2026-02-01T05:30:00+09:00,77424,77614,77124,77552
2026-02-01T05:45:00+09:00,77545,78139,77370,78050
2026-02-01T06:00:00+09:00,78037,78212,77663,77722
2026-02-01T06:15:00+09:00,77709,78016,77435,77887
2026-02-01T06:30:00+09:00,77890,78310,77769,78205
2026-02-01T06:45:00+09:00,78202,78415,78134,78328
2026-02-01T07:00:00+09:00,78343,78556,78212,78240
2026-02-01T07:15:00+09:00,78246,78419,78131,78393
2026-02-01T07:30:00+09:00,78388,78486,78112,78149
2026-02-01T07:45:00+09:00,78149,78334,78039,78222
2026-02-01T08:00:00+09:00,78207,78407,78122,78295
2026-02-01T08:15:00+09:00,78281,79279,78200,79012
2026-02-01T08:30:00+09:00,79015,79243,78823,78905
2026-02-01T08:45:00+09:00,78916,79014,78707,78802
2026-02-01T09:00:00+09:00,78812,79453,78691,79399
2026-02-01T09:15:00+09:00,79423,79503,79032,79147
2026-02-01T09:30:00+09:00,79154,79275,78811,78820
2026-02-01T09:45:00+09:00,78821,79177,78805,78962
2026-02-01T10:00:00+09:00,78962,79005,78502,78763
2026-02-01T10:15:00+09:00,78745,78939,78439,78890
2026-02-01T10:30:00+09:00,78893,78941,78362,78386
2026-02-01T10:45:00+09:00,78411,78595,78317,78578
2026-02-01T11:00:00+09:00,78594,78931,78430,78891
2026-02-01T11:15:00+09:00,78865,78968,78570,78696
2026-02-01T11:30:00+09:00,78701,78872,78671,78816
2026-02-01T11:45:00+09:00,78816,79116,78785,78957
2026-02-01T12:00:00+09:00,78968,79076,78803,78939
2026-02-01T12:15:00+09:00,78943,78987,78710,78811
2026-02-01T12:30:00+09:00,78824,78934,78741,78806
2026-02-01T12:45:00+09:00,78810,78985,78803,78929
2026-02-01T13:00:00+09:00,78924,79075,78781,79024
2026-02-01T13:15:00+09:00,79030,79184,78956,79009
2026-02-01T13:30:00+09:00,78997,79095,78973,79073
2026-02-01T13:45:00+09:00,79091,79140,79019,79031
2026-02-01T14:00:00+09:00,79049,79082,78774,78919
2026-02-01T14:15:00+09:00,78913,79055,78787,79008
2026-02-01T14:30:00+09:00,78999,79014,78600,78630
2026-02-01T14:45:00+09:00,78649,78709,78585,78691
2026-02-01T15:00:00+09:00,78699,78807,78657,78787
2026-02-01T15:15:00+09:00,78790,78891,78749,78782
2026-02-01T15:30:00+09:00,78802,78858,78466,78590
2026-02-01T15:45:00+09:00,78580,78593,78336,78355
2026-02-01T16:00:00+09:00,78370,78414,78015,78181
2026-02-01T16:15:00+09:00,78196,78277,78061,78272
2026-02-01T16:30:00+09:00,78271,78800,78245,78642
2026-02-01T16:45:00+09:00,78601,78646,78401,78406
2026-02-01T17:00:00+09:00,78415,78607,78407,78502
2026-02-01T17:15:00+09:00,78504,78576,78312,78576
2026-02-01T17:30:00+09:00,78562,78937,78506,78933
2026-02-01T17:45:00+09:00,78930,78930,78616,78667
2026-02-01T18:00:00+09:00,78667,78913,78602,78834
2026-02-01T18:15:00+09:00,78838,78861,78704,78756
2026-02-01T18:30:00+09:00,78742,78980,78741,78931
2026-02-01T18:45:00+09:00,78939,79209,78807,79097
2026-02-01T19:00:00+09:00,79104,79287,78937,79240
2026-02-01T19:15:00+09:00,79230,79230,79047,79080
2026-02-01T19:30:00+09:00,79068,79090,78442,78442
2026-02-01T19:45:00+09:00,78437,78587,78205,78333
2026-02-01T20:00:00+09:00,78340,78588,78340,78550
2026-02-01T20:15:00+09:00,78562,78565,78369,78486
2026-02-01T20:30:00+09:00,78498,78958,78458,78903
2026-02-01T20:45:00+09:00,78900,78945,78762,78809
2026-02-01T21:00:00+09:00,78809,78837,78545,78621
2026-02-01T21:15:00+09:00,78623,78679,78296,78493
2026-02-01T21:30:00+09:00,78493,78701,78391,78396
2026-02-01T21:45:00+09:00,78472,78554,78459,78510
2026-02-01T22:00:00+09:00,78515,78797,78506,78719
2026-02-01T22:15:00+09:00,78746,78814,78648,78737
2026-02-01T22:30:00+09:00,78738,78754,78499,78579
2026-02-01T22:45:00+09:00,78591,78711,78234,78367
2026-02-01T23:00:00+09:00,78364,78483,78159,78232
2026-02-01T23:15:00+09:00,78227,78281,77853,77905
