time,open,high,low,close
2025-12-01T00:00:00+09:00,91570,91570,91451,91491
2025-12-01T00:15:00+09:00,91513,91679,91489,91679
2025-12-01T00:30:00+09:00,91658,91658,91471,91521
2025-12-01T00:45:00+09:00,91531,91572,91531,91555
2025-12-01T01:00:00+09:00,91539,91571,91539,91571
2025-12-01T01:15:00+09:00,91596,91869,91568,91842
2025-12-01T01:30:00+09:00,91870,91874,91774,91802
2025-12-01T01:45:00+09:00,91818,91938,91818,91910
2025-12-01T02:00:00+09:00,91920,91920,91473,91503
2025-12-01T02:15:00+09:00,91503,91590,91463,91463
2025-12-01T02:30:00+09:00,91467,91570,91431,91550
2025-12-01T02:45:00+09:00,91550,91600,91550,91576
2025-12-01T03:00:00+09:00,91558,91587,91285,91380
2025-12-01T03:15:00+09:00,91379,91476,91320,91434
2025-12-01T03:30:00+09:00,91422,91497,91418,91419
2025-12-01T03:45:00+09:00,91456,91520,91456,91520
2025-12-01T04:00:00+09:00,91524,91530,91509,91512
2025-12-01T04:15:00+09:00,91534,91550,91400,91401
2025-12-01T04:30:00+09:00,91436,91530,91402,91530
2025-12-01T04:45:00+09:00,91529,91540,91506,91524
2025-12-01T05:00:00+09:00,91538,91690,91506,91642
2025-12-01T05:15:00+09:00,91608,91608,91420,91420
2025-12-01T05:30:00+09:00,91410,91410,91275,91323
2025-12-01T05:45:00+09:00,91323,91410,91323,91389
2025-12-01T06:00:00+09:00,91389,91389,91070,91217
2025-12-01T06:15:00+09:00,91217,91266,91021,91119
2025-12-01T06:30:00+09:00,91116,91260,91116,91139
2025-12-01T06:45:00+09:00,91139,91240,91139,91239
2025-12-01T07:00:00+09:00,91240,91354,91240,91353
2025-12-01T07:15:00+09:00,91358,91379,91261,91299
2025-12-01T07:30:00+09:00,91298,91298,91120,91178
2025-12-01T07:45:00+09:00,91150,91318,91131,91305
2025-12-01T08:00:00+09:00,91281,91296,90951,91021
2025-12-01T08:15:00+09:00,91041,91041,90742,90742
2025-12-01T08:30:00+09:00,90730,90731,90591,90729
2025-12-01T08:45:00+09:00,90701,90750,90413,90413
2025-12-01T09:00:00+09:00,90406,90459,89000,89001
2025-12-01T09:15:00+09:00,89000,89107,88438,88439
2025-12-01T09:30:00+09:00,88438,88470,87763,87790
2025-12-01T09:45:00+09:00,87801,87801,87058,87119
2025-12-01T10:00:00+09:00,87101,87755,87050,87460
2025-12-01T10:15:00+09:00,87499,87800,87319,87395
2025-12-01T10:30:00+09:00,87353,87643,87280,87530
2025-12-01T10:45:00+09:00,87501,87529,87251,87262
2025-12-01T11:00:00+09:00,87250,87540,87151,87492
2025-12-01T11:15:00+09:00,87491,87496,87177,87198
2025-12-01T11:30:00+09:00,87170,87193,86691,86922
2025-12-01T11:45:00+09:00,86926,86926,86560,86820
2025-12-01T12:00:00+09:00,86816,86866,86500,86501
2025-12-01T12:15:00+09:00,86501,86680,86392,86490
2025-12-01T12:30:00+09:00,86481,86501,86273,86501
2025-12-01T12:45:00+09:00,86510,86520,86330,86423
2025-12-01T13:00:00+09:00,86435,86435,86103,86129
2025-12-01T13:15:00+09:00,86158,86158,85825,85839
2025-12-01T13:30:00+09:00,85849,86116,85794,86014
2025-12-01T13:45:00+09:00,86015,86027,85900,85938
2025-12-01T14:00:00+09:00,85916,86021,85728,85892
2025-12-01T14:15:00+09:00,85914,86134,85841,86134
2025-12-01T14:30:00+09:00,86091,86091,85824,85909
2025-12-01T14:45:00+09:00,85890,86140,85890,86140
2025-12-01T15:00:00+09:00,86129,86399,86127,86399
2025-12-01T15:15:00+09:00,86422,86422,86199,86200
