time,open,high,low,close
2025-10-01T00:00:00+09:00,113750,113770,113310,113380
2025-10-01T00:15:00+09:00,113390,113430,113090,113190
2025-10-01T00:30:00+09:00,113200,113390,113170,113190
2025-10-01T00:45:00+09:00,113190,113330,113140,113260
2025-10-01T01:00:00+09:00,113260,113330,113110,113170
2025-10-01T01:15:00+09:00,113170,113480,113150,113200
2025-10-01T01:30:00+09:00,113200,113200,112900,113030
2025-10-01T01:45:00+09:00,113040,113040,112880,112950
2025-10-01T02:00:00+09:00,112950,113260,112930,113210
2025-10-01T02:15:00+09:00,113250,113410,113250,113310
2025-10-01T02:30:00+09:00,113320,113590,113250,113370
2025-10-01T02:45:00+09:00,113370,113450,113330,113340
2025-10-01T03:00:00+09:00,113330,113610,113270,113590
2025-10-01T03:15:00+09:00,113600,113610,113450,113550
2025-10-01T03:30:00+09:00,113550,113550,113410,113520
2025-10-01T03:45:00+09:00,113530,113750,113530,113740
2025-10-01T04:00:00+09:00,113750,113960,113750,113910
2025-10-01T04:15:00+09:00,113910,114040,113850,113970
2025-10-01T04:30:00+09:00,113970,114290,113970,114280
2025-10-01T04:45:00+09:00,114270,114580,114230,114360
2025-10-01T05:00:00+09:00,114380,114500,114140,114170
2025-10-01T05:15:00+09:00,114170,114470,114170,114390
2025-10-01T05:30:00+09:00,114400,114410,114330,114330
2025-10-01T05:45:00+09:00,114330,114740,114320,114620
2025-10-01T06:00:00+09:00,114630,114750,114400,114420
2025-10-01T06:15:00+09:00,114390,114520,114300,114320
2025-10-01T06:30:00+09:00,114310,114500,114210,114370
2025-10-01T06:45:00+09:00,114370,114370,114160,114160
2025-10-01T07:00:00+09:00,114170,114360,114130,114140
2025-10-01T07:15:00+09:00,114150,114180,113980,113980
2025-10-01T07:30:00+09:00,113970,114040,113890,113900
2025-10-01T07:45:00+09:00,113900,114010,113900,113930
2025-10-01T08:00:00+09:00,113930,113930,113780,113810
2025-10-01T08:15:00+09:00,113830,114010,113770,113970
2025-10-01T08:30:00+09:00,113970,113970,113850,113950
2025-10-01T08:45:00+09:00,113950,114020,113950,114020
2025-10-01T09:00:00+09:00,114030,114270,114030,114140
2025-10-01T09:15:00+09:00,114140,114140,113970,114010
2025-10-01T09:30:00+09:00,114010,114190,113950,113950
2025-10-01T09:45:00+09:00,113960,114220,113960,114220
2025-10-01T10:00:00+09:00,114220,114360,114140,114310
2025-10-01T10:15:00+09:00,114310,114380,114190,114330
2025-10-01T10:30:00+09:00,114330,114440,114190,114410
2025-10-01T10:45:00+09:00,114410,114510,114400,114500
2025-10-01T11:00:00+09:00,114500,114530,114440,114480
2025-10-01T11:15:00+09:00,114480,114480,114400,114410
2025-10-01T11:30:00+09:00,114410,114420,114310,114330
2025-10-01T11:45:00+09:00,114310,114350,114250,114260
2025-10-01T12:00:00+09:00,114260,114390,114180,114380
2025-10-01T12:15:00+09:00,114380,114500,114330,114440
2025-10-01T12:30:00+09:00,114440,114480,114290,114310
2025-10-01T12:45:00+09:00,114280,114280,114100,114160
2025-10-01T13:00:00+09:00,114160,114400,114150,114320
2025-10-01T13:15:00+09:00,114320,114550,114320,114550
2025-10-01T13:30:00+09:00,114550,114650,114480,114510
2025-10-01T13:45:00+09:00,114520,114530,114230,114240
2025-10-01T14:00:00+09:00,114250,114700,114240,114610
2025-10-01T14:15:00+09:00,114610,114690,114550,114580
2025-10-01T14:30:00+09:00,114600,114600,114540,114550
2025-10-01T14:45:00+09:00,114550,114620,114510,114540
2025-10-01T15:00:00+09:00,114540,114580,114470,114540
2025-10-01T15:15:00+09:00,114540,114610,114340,114420
2025-10-01T15:30:00+09:00,114420,114500,114340,114470
2025-10-01T15:45:00+09:00,114500,114500,114230,114280
2025-10-01T16:00:00+09:00,114280,114440,114280,114390
2025-10-01T16:15:00+09:00,114410,114590,114410,114590
2025-10-01T16:30:00+09:00,114590,114600,114510,114600
2025-10-01T16:45:00+09:00,114590,114620,114570,114620
2025-10-01T17:00:00+09:00,114600,114620,114540,114620
2025-10-01T17:15:00+09:00,114620,115150,114620,115080
2025-10-01T17:30:00+09:00,115120,115720,115120,115720
2025-10-01T17:45:00+09:00,115710,116700,115570,116160
2025-10-01T18:00:00+09:00,116170,116390,116020,116310
2025-10-01T18:15:00+09:00,116290,116350,116210,116280
2025-10-01T18:30:00+09:00,116270,116540,116190,116420
2025-10-01T18:45:00+09:00,116440,116480,116380,116460
2025-10-01T19:00:00+09:00,116490,116600,116100,116290
2025-10-01T19:15:00+09:00,116290,116430,116280,116310
2025-10-01T19:30:00+09:00,116310,116360,116250,116290
2025-10-01T19:45:00+09:00,116290,116360,116230,116300
2025-10-01T20:00:00+09:00,116300,116450,116300,116390
2025-10-01T20:15:00+09:00,116430,116440,116340,116350
2025-10-01T20:30:00+09:00,116380,116590,116330,116590
2025-10-01T20:45:00+09:00,116540,116780,116540,116780
